dataset_id;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Created;Issued;Creator;Contributor;Contact name;Contact email;Accrual periodicity;Spatial;Temporal;Granularity;Data quality;Publisher type;Cycle de publication;Périodicité de mise à jour;Number of records;Published;Statut de publication
objets-trouves-gares;False;Déclarations de pertes;La gestion des objets trouvés dans les trains et les gares est un service prioritaire rendu aux clients par SNCF Gares & Connexions.  Une application permet de mettre en relation des objets trouvés et des déclarations de perte faites par les clients via le web (gares-sncf.com), par téléphone ou en gare.  Ce jeu de données représente l'intégralité des déclarations de pertes faites par les clients tout canal confondu (web, téléphone et gare).;Gares;Objets trouvés,Gare de voyageurs,Services en gare;Open Database License (ODbL);fr;;2024-08-02;2024-08-02;2024-08-02;Gares & Connexions;;;2015-05-29;2015-05-29;Gares & Connexions;;;;3 fois par jour;;;;;;;Quotidienne;1944585;True;
dettes-dexploitation-2017-cso;True;Dettes d'exploitation CSO de SNCF Réseau depuis 2015;Dettes d'exploitation depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;SNCF RESEAU,Comptes Sociaux,Dette,Exploitation;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;12;True;En retard
dettes-exploitation-2017-cco;True;Dettes exploitation CCO du groupe SNCF Réseau depuis 2015;Dettes exploitation depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,Dette,Exploitation;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;9;True;En retard
dettes-financieres-2017-cso;True;Dettes financières CSO de SNCF Réseau depuis 2017;Dettes financières issues du Rapport Financier du groupe SNCF Réseau au 31 décembre 2018 (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;SNCF RESEAU,Comptes Sociaux;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;30;True;En retard
tgvmax;True;Disponibilité à 30 jours de places MAX JEUNE et MAX SENIOR ouvertes à la réservation;"Ce jeu de données présente la liste des trains MAX JEUNE (abonnement illimité pour les 16-27 ans sur TGV INOUI et INTERCITÉS à réservation obligatoire) et MAX SENIOR (abonnement illimité pour les 60 ans et plus sur TGV INOUI et INTERCITÉS à réservation obligatoire). Toutes les origines-destinations sont listées sur une période glissante de 30 jours, avec, pour chacune, la disponibilité de places ou non.
 

 
La mise à jour du jeu de données se fait tous les jours en début de matinée.";Tarifs voyageurs;tgvmax,max jeune,max senior;Open Database License (ODbL);fr;;2024-08-02;2024-08-02;2024-08-02;SNCF Voyageurs;;;;;;;;;;;;;;;;Quotidienne;542277;True;
disponibilites-2017-cso;True;Disponibilités CSO de SNCF Réseau depuis 2015;Disponibilités depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;SNCF RESEAU,Comptes Sociaux,Disponibilités;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;14;True;En retard
documents-de-reference-des-gares;False;Documents de Référence des Gares de voyageurs;Le document de référence des gares de voyageurs (DRG) recense les conditions d’accès aux gares et à aux prestations de SNCF Gares&Connexions pour le service horaire.  Les différentes versions du DRG sont disponibles sur : https://www.garesetconnexions.sncf/fr/transports_ferroviaires;Gares,Informations institutionnelles et financières;Gare de voyageurs,Gares;Open Database License (ODbL);fr;;2024-07-10;2024-07-10;2024-07-10;Gares & Connexions;;;;;;;;;annuelle;;;;;;;Annuelle;0;True;
domain-dataset;False;Domain Dataset;Jeu de données reprenant l'ensemble des infos sur les jeux de données de la plateforme;Informations institutionnelles;;Open Database License (ODbL);fr;;2024-08-02;2024-08-02;2024-08-02;;;;;;;;;;;;;;;;;Irrégulière;0;True;
dotations-reprises-2017-cso;True;Dotations reprises CSO de SNCF Réseau depuis 2015;Dotations reprises depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU);Réseau;SNCF RESEAU,Comptes Sociaux,Dotations,Reprises;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;14;True;En retard
echeancier-subventions-2017-cco;True;Échéancier subventions CCO du groupe SNCF Réseau depuis 2015;Échéancier subventions depuis 2015 issu du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,Subventions,Echéancier subventions;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;6;True;En retard
effectif-agents-surete-ferroviaire;False;Effectif des agents de la sûreté ferroviaire depuis 2011;Nombre d'agents de la sûreté ferroviaire de 2011 à 2015.;Informations institutionnelles et financières;Sûreté,Effectifs;Open Database License (ODbL);fr;;2017-04-01;2017-04-01;2023-02-15;SNCF;;;2016-03-14;;;;;;Annuelle;;2011/2015;;;;;Irrégulière;10;True;
effectifs-disponibles-sncf-depuis-1851;True;Effectifs disponibles GPF SNCF depuis 1851;"Effectifs disponibles en moyenne annuelle du Groupe Public Ferroviaire SNCF (hors filiales) depuis 1851. Précisions : Le nombre d'« agents disponibles » correspond au nombre d’agents en équivalent temps plein mis à disposition de l’entité pour le mois considéré. Le calcul tient compte à la fois du pourcentage d’utilisation repris dans le contrat du travail et du nombre de jours travaillés durant le mois.
- Avant 1937, l'effectif proposé correspond à l'effectif agrégé de différentes compagnies ferroviaires. - de 1939 à 1945 : non compris les agents du cadre permanent mobilisés. - de 1940 à 1944 : non compris le personnel des lignes d'Alsace et de Lorraine. - 1970 : y compris les services de messageries et de transports routiers. - 1990 : inclusion des contractuels à temps partiel, décomptés en équivalents temps plein (soit 4 848 agents équivalent temps plein en 1990. - 1998 : l'effectif de gestion (suivi en comptabilité) remplace l'effectif à disposition. - de 1998 à 2005 : y compris emplois jeunes - février 2000 : filialisation du SERNAM - 2007 : l'effectif disponible remplace l'effectif de gestion. - 2015 : hors RFF du 1er janvier au 30 juin 2015";Informations institutionnelles et financières;effectifs,ressources humaines;Open Database License (ODbL);fr;;2021-07-16;2021-07-16;2024-08-02;SNCF Voyageurs;;;;;;;;;;;;;;;;Annuelle;170;True;En retard
nombre-total-agents-effectifs;False;Effectifs SNCF par collège;"Nombre total d'agents SNCF figurant à l'effectif réel au 31 décembre depuis 2010. ""Collège"" : classification selon les collèges de représentation du personnel, à savoir “exécution”, “maîtrise” et “cadre”.“Agents au statut” : également désigné par “cadre permanent” à l’intérieur de SNCF, cette notion désigne une position statutaire, quelque soit le collège de l’agent, conforme aux dispositions de la directive interne RH 001 (“Statut des relations collectives entre la SNCF et son personnel”).""Agents contractuels"" : désigne un agent qui n’est pas au statut, mais et qui est lié à SNCF par un contrat de travail de droit commun.Le personnel roulant comprend les agents de conduite (« exécution roulants conduite ») et les chefs de bord (“exécution roulants trains »). Ces données sont issues du Bilan social publié chaque année par la Direction cohésion & ressources humaines de SNCF. Le bilan social présente les données relatives à l’ensemble du personnel de l’entreprise à l’exception des médecins qui interviennent dans le cadre de la médecine du travail et de la médecine de soins des agents en activité, des stagiaires, des concierges et du personnel contractuel sous contrait aidé.  

  A partir de 2019, le type d’effectif prise en compte par
le Bilan Social a été modifié : les effectifs présentés sont les effectifs
totaux ( et non plus les effectifs « réels).";Social et ressources humaines;Social,Ressources humaines,Direction Cohésion;Open Database License (ODbL);fr;;2023-01-03;2023-01-03;2023-01-03;SNCF;;;2014-07-09;;Direction cohésion & ressources humaines;;;;Annuelle;;Depuis 2010;;;;;Annuelle;135;True;En retard
effectif-metiers-sncf;False;Effectifs SNCF par métiers;"Effectifs réels moyen SNCF classés par métiers depuis 2012.  Ce jeu de données intègre les salariés au statut (dit ""statut du cadre permanent"") et les salariés sous contrat (CDI).   

  A partir de 2019, le type d’effectif prise en compte par
le Bilan Social a été modifié : les effectifs présentés sont les effectifs
totaux ( et non plus les effectifs « réels).";Social et ressources humaines;Ressources humaines,Effectifs,Salariés,Direction Cohésion;Open Database License (ODbL);fr;;2023-01-04;2023-01-04;2023-01-04;SNCF;;;2016-03-01;2016-03-03;;;;;Annuelle;;Depuis 2012;Par métiers SNCF;;;;Annuelle;200;True;En retard
efn-annee-n-2017-cco;True;EFN année N CCO du groupe SNCF Réseau;EFN année N CCO issu du Rapport Financier du groupe SNCF Réseau au 31 décembre 2018 (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,EFN;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1128;True;En retard
emission-co2-tgv;True;Émissions de CO2e sur les liaisons TGV, TER, Intercités et internationales;"Émissions de CO2e* (kgCO2e/voyageur) sur les
principales liaisons TGV, Intercités, TER et internationales (périmètre
complet).  Estimation calculée de la manière suivante : distance du
trajet x émission de CO2 par kilomètre d’un voyageur.  Toutes les données et les méthodologies de calcul sont
détaillées dans le document d'information sur la quantité de gaz à effet de
serre émise à l'occasion d'une prestation de transport, disponible ici : https://medias.sncf.com/sncfcom/rse/methodologie-generale-infoges.pdf
(les distances ferroviaires de la page 8 ont été mises à jour depuis).  Pour le train : Données issues de géo2rail (SNCF
Connect).  
Pour l'autocar longue distance : Données issues des résultats de plusieurs
compagnies de bus (Flixbus, Blablabus et compagnies locales). 
Pour l'avion : Données issues des résultats EasyVoyages. Les émissions
pour les trajets dont la ligne aérienne est inexistante sont données à titre
indicatif.  
Pour la voiture : Données issues des résultats Mappy.  Lorsqu'un même trajet est assuré par plusieurs transporteurs
(TGV, TER, INTERCITES), il faut considérer que c'est l'empreinte carbone TGV
qui est affichée. 
 
Les noms de gares et les distances entre les gares sont données à titre
indicatif, et peuvent varier selon la date de voyage prévu et l’itinéraire
choisi. *CO2e : équivalent CO2";Développement durable;Développement durable,CO2,Environnement,Pollution,TGV;Open Database License (ODbL);fr;;2024-04-19;2024-04-19;2024-08-02;SNCF Voyageurs;https://ressources.data.sncf.com/explore/dataset/info-ges/information/;;;;;;;;;;;;;;;;119;True;
emissions-n-2017-cco;True;Emissions N CCO du groupe SNCF Réseau depuis 2015;Émissions N depuis 2015 issues du Rapport Financier du groupe SNCF Réseauau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,Emissions financières;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;281;True;En retard
emprunts-etablissements-de-credit-2017-cco;True;Emprunts établissements de crédit CCO du groupe SNCF Réseau depuis 2015;Emprunts établissements de crédit depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,Emprunt,Emprunts auprès des établissements de crédit;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;212;True;En retard
emprunts-obligataires-2017-cco;True;Emprunts obligataires CCO du groupe SNCF Réseau;Emprunts obligataires issus du Rapport Financier du groupe SNCF Réseau au 31 décembre 2018 (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,Emprunt,Emprunt Obligataire;Open Database License (ODbL);fr;;2022-03-23;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;90;True;En retard
emprunts-sncf-2017-cco;True;Emprunts SNCF CCO du groupe SNCF Réseau depuis 2015;Emprunts SNCF depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,Emprunt,Emprunts SNCF;Open Database License (ODbL);fr;;2022-03-24;2021-06-29;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;72;True;En retard
engagements-hors-bilan-donnes-2017-cco;True;Engagements hors bilan donnés CCO du groupe SNCF Réseau depuis 2015;EHB donnés depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,EHB,EHB donnés;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;432;True;En retard
engagements-hors-bilan-ifd-devises-2017-cso;True;Engagements hors bilan financier CSO de SNCF Réseau depuis 2015;EHB financier depuis 2015 CSO issu du Rapport Financier du groupe SNCF Réseau  au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)  Opérations de couvertures négociées de gré à gré.;Réseau;SNCF RESEAU,Comptes Sociaux,EHB;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;47;True;En retard
engagements-hors-bilan-recus-2017-cco;True;Engagements hors bilan reçus CCO du groupe SNCF Réseau depuis 2015;EHB reçus depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales);Réseau;SNCF RESEAU,Comptes Consolidés,EHB,EHB reçus;Open Database License (ODbL);fr;;2022-03-24;2021-07-01;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;330;True;En retard
equipements-accessibilite-gares-transilien;True;Équipements d'accessibilité des gares du réseau Transilien;Équipements d'accessibilité qui sont proposés dans les gares desservies par Transilien. Sont notamment listés tous les équipements dédiés à l’accessibilité (guichets adaptés PMR, boucles magnétiques, portillons élargis, …) ainsi que les ascenseurs et escaliers mécaniques.;Services voyageurs;Equipement,Accessibilité,Gare de voyageurs,Ile-de-France,Transilien;Open Database License (ODbL);;;2017-12-28;2021-12-07;2024-08-02;SNCF Voyageurs;;;;;;;;;;;;;;;;Annuelle;508;True;En retard
referentiel-equipements-gares-;False;Equipements d'élévatique en gare;Ce jeu de données expose les équipements d'élévatique des gares de voyageurs.   Code Gare : il s’agit de la clé permettant d’identifier la gare dans le référentiel des gares voyageurs (https://ressources.data.sncf.com/explore/dataset/referentiel-gares-voyageurs)   Position Géographique : coordonnées GPS de l’équipement  Localisation :  Information textuelle sur l’emplacement de l’elévatique  Etat de fonctionnement de l’équipement : OK : fonctionnel, KO : non fonctionnel , Inconnu : état inconnu A noter que cet état de fonctionnement : est calculé à partir de paramètres techniques remontés par l’équipement et des mises à jour de nos services de maintenanceest mis à jour toutes les heuresn'est pas contractuel pour le calcul de la disponibilité;Gares,Services voyageurs,Services gare;ascenseurs,escaliers mécaniques;SNCF Open Data;fr;;2023-03-29;2024-08-02;2024-08-02;Gares & Connexions;;;;;;;;;;;;;;;;;2417;True;
equipements-accessibilite-en-gares;False;Equipements d’accessibilité en gare;"Liste des équipements d’accessibilité recensés
dans les gares SNCF pour améliorer l’accessibilité des clients.
 Cette liste est mise à jour au fur et à mesure.
Ces informations ne sont donc pas encore disponibles pour toutes les gares.";Equipements et services en gares,Gares;Gares,Accessibilité,Equipement;Open Database License (ODbL);;;2021-12-21;2021-12-16;2021-12-21;Gares & Connexions;;;;;;;;;;;;;;;;Irrégulière;1717;True;
meilleurs-temps-des-parcours-des-trains;True;Evolution des temps de parcours;Ce jeu de données présente l'évolution du temps de parcours, calculé en minutes, entre les plus grandes villes françaises via le réseau ferroviaire depuis 1920. Le meilleur temps de parcours proposé sur la relation est retenu.;Informations institutionnelles et financières;Temps de parcours,Trajet,trafic;Open Database License (ODbL);fr;;2021-03-12;2021-07-15;2024-08-02;SNCF Voyageurs;;;;;;;;;;;;;;;;;3999;True;
facilites-circulation;False;Facilités de circulation;Facilités de circulation des agents SNCF et des ayants droit.;Social et ressources humaines;facilité circulation,Paie et Famille;Open Database License (ODbL);fr;;2023-03-09;2023-03-09;2023-03-09;SNCF;;;;2014-05-24;;;;;;;;;;;;Irrégulière;5;True;
formes-des-lignes-du-rfn;True;Fichier de formes des lignes du Réseau Ferré National;Le format fichier de formes (shapefile) est destiné aux systèmes d'informations géographiques (SIG). Il contient toute l'information liée à la géométrie des objets décrits. Il est composé de trois fichiers portant le même nom, avec les extensions SHP, DBF (attributs), SHX (index de la géométrie) et PRJ (système de projection de données).  Le fichier reprend l’ensemble des lignes du réseau ferré national.  La colonne MNEMO reprend les statuts de chaque ligne : projet (PROJET), exploitée (EXPLOITE), neutralisée (NEUT), neutralisée et conservée (NEUT DEF), transférée en voie de service (VS), fermée non déposée (FERME ND), fermée avec maintien en place de la voie (FERME MV), fermée et déposée (FERME D), fermée (FERME), fermée mise à disposition de tiers (FERME DT), retranchée (RETRANCHE), déclassée non vendue (DEC NV), déclassée vendue (DEC V).  Un tronçon de ligne est une partie physiquement continue d’une ligne, délimitée par deux nœuds d’extrémités (origine et fin) de tronçon de ligne, et possédant un système de repérage cohérent. Lorsqu’il y a discontinuité, la ligne est découpée en plusieurs tronçon, avec un rang croissant.  La précision du shapefile des lignes est décamétrique : usage à moyenne échelle (1/50.000ème).  Ce jeu publie les données en l’état des bases au 31/12/2021.   date de mise à jour 16/11/2022;Description du réseau;SNCF RESEAU,Infrastructure,Lignes;Open Database License (ODbL);fr;Europe/Paris;2022-11-16;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;1843;True;En retard
fichier-de-formes-des-voies-du-reseau-ferre-national;True;Fichier de formes des voies du Réseau Ferré National;"Le format fichier de formes (shapefile) est destiné aux systèmes d'informations géographiques (SIG). Il contient toute l'information liée à la géométrie des objets décrits. Il est composé de trois fichiers portant le même nom, avec les extensions SHP, DBF (attributs), SHX (index de la géométrie) et PRJ (système de projection de données).  Le fichier reprend l’ensemble des voies du réseau ferré national.  Un tronçon de ligne est une partie physiquement continue d’une ligne, délimitée par deux nœuds d’extrémités (origine et fin) de tronçon de ligne, et possédant un système de repérage cohérent. Lorsqu’il y a discontinuité, la ligne est découpée en plusieurs tronçon, avec un rang croissant.  La précision du shapefile des voies est métrique : usage à hautes échelles (1/1000 à 1/5000)  Les valeurs de la colonne type de voies sont les suivantes : VPL = Voies Principales Lignes ; VPA = Voies Principales Autres ; VS = Voie de service  Ce jeu publie les données en l’état des bases à fin 2018.";Réseau;SNCF RESEAU,Infrastructure,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-09-29;2022-08-10;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;;10206;True;
frequentation-gares;False;Fréquentation en gares;Ce jeu de données représente la fréquentation annuelle de l’ensemble des 3000 gares voyageurs de 2015 à 2023. Ces informations sont issues d’une part, des données de billetterie pour le trafic national et régional hors Ile-de-France et d’autre part, d’une extrapolation pour le trafic régional Ile-de-France à partir des comptages effectués tous les 3 à 4 ans et publiés par ailleurs en Open Data. A noter, pour les gares n’ayant pas bénéficié de comptage du trafic régional Ile-de-France depuis 2020 en raison de la crise sanitaire, la fréquentation est calculée en relatif par rapport aux évolutions des validations en gare. Une estimation de la proportion de non voyageurs est réalisée à partir des enquêtes en gare. En l’absence d’enquête, un taux par défaut est défini (20% pour les gares a et b hors Ile-de-France et 0% pour les gares b Ile-de-France et c). La méthodologie de calcul se précise année après année avec une reprise de l'historique pouvant expliquer des variations dans les données publiées d'une année sur l'autre. Pour toute question, vous pouvez nous l'adresser au travers du formulaire de contact du portail Open Data. Ces données sont mises à jour annuellement à l'été A+1.;Gares;Fréquentation,Gare de voyageurs,Gares;Open Database License (ODbL);fr;;2024-08-02;2024-08-02;2024-08-02;Gares & Connexions;;;2015-12-08;2015-12-08;Gares & Connexions;;;;;;;Gares SNCF;;;;Annuelle;3010;True;
gabarit-limite-des-obstacles-hauts-fret;True;Gabarit limite des obstacles hauts Fret;Gabarit limite des obstacles hauts pour le Fret sur les lignes du Réseau Ferré National.  Le gabarit indique la classification de la voie à la fois pour le gabarit de chargement (c’est-à-dire la limite d’encombrement que doit respecter le couple wagon-chargement circulant sur la portion de voie décrite) et pour le gabarit cinématique (c’est-à-dire le gabarit à respecter par les constructeurs de matériel roulant).  Sur ligne, il s’agit de la valeur la plus restrictive acceptée sur toutes les voies de la portion.   Ce jeu publie les données en l’état des bases à la date de publication.  Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées;Description du réseau;SNCF RESEAU,Lignes,Infrastructure,Gabarit,Fret,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2020-05-26;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;951;True;En retard
gabarit-limite-des-obstacles-hauts-voyageurs;True;Gabarit limite des obstacles hauts Voyageurs;Gabarit limite des obstacles hauts pour le trafic voyageur sur les lignes du Réseau Ferré National.  Le gabarit indique la classification de la voie à la fois pour le gabarit de chargement (c’est-à-dire la limite d’encombrement que doit respecter le couple wagon-chargement circulant sur la portion de voie décrite) et pour le gabarit cinématique (c’est-à-dire le gabarit à respecter par les constructeurs de matériel roulant).   Sur ligne, il s’agit de la valeur la plus restrictive acceptée sur toutes les voies de la portion.   Ce jeu publie les données en l’état des bases au 31/12/2021.  Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).  Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées  Dernière mise à jour: 10/08/2022;Réseau;SNCF RESEAU,Lignes,Infrastructure,Gabarit,Voyageur,Géolocalisation;Open Database License (ODbL);fr;Europe/Paris;2022-03-24;2023-06-28;2024-01-10;SNCF Réseau;;;;;;;;;;;;;;;;Annuelle;893;True;En retard
gares-de-voyageurs;False;Gares de voyageurs;"Une gare est un ensemble de biens fonciers, pour lequel SNCF G&C est affectataire en droit réel de la propriété de l'Etat ou d'un propriétaire tiers, ayant servi, servant ou qui servira à l'interface entre la ville et le train.
Ce jeu de données représente l'ensemble des gares
répondant à la définition ci-dessus, le précédent jeu de données des gares (https://data.sncf.com/explore/dataset/referentiel-gares-voyageurs/) va être supprimé de la plateforme SNCF OPENDATA à
échéance du 31/08/2024.   Les données affichées sont les suivantes : Nom : Nom de la gareTrigramme : Codification de la gare, chaque gare possède un trigramme uniqueSegment(s) DRG : segment(s) de la gare associé au document de référence des garesPosition géographique : coordonnées géographiques de la gareCode Commune : Le code INSEE de chaque commune est constitué de 5 chiffres, les 2 premiers sont le numéro du département (codé sur 2 chiffres) et les 3 autres chiffres sont un code donné à la commune (codée sur 3 chiffres).Codes(s)
UIC : liste des codes UIC rattachés à la gare";Gares;Gare de voyageurs,Gares de voyageurs,Gares,gare,Géolocalisation,Code UIC;Open Data Commons Open Database License (ODbL);fr;;2024-08-02;2024-08-02;2024-08-02;Gares & Connexions;;;;2024-02-21;SNCF Gares&Connexions;SNCF Gares&Connexions;;;daily;;;;;;;Quotidienne;2886;True;
referentiel-gares-voyageurs;False;Gares de voyageurs (jeu de données déprécié);"Référentiel SNCF Gares&Connexions des gares de voyageurs Définition du ""segment DRG"" : Catégorie A : gares de voyageurs d’intérêt national. Ces gares sont celles dont la fréquentation par des voyageurs des services nationaux et internationaux de voyageurs est au moins égale à 250 000 voyageurs par an ou dont ces mêmes voyageurs représentent 100% des voyageurs.Catégorie B : gares de voyageurs d’intérêt régional. Le périmètre de gestion correspond, dans chaque région, à l’ensemble des gares n’appartenant pas à la catégorie a mais dont la fréquentation totale est au moins égale à 100 000 voyageurs par an.Catégorie C : gares de voyageurs d’intérêt local. Leur périmètre de gestion correspond, dans chaque région, à l’ensemble des gares de cette catégorie. La redevance est fixée, par région, pour l’ensemble des gares de cette catégorie.";Gares;Gare de voyageurs,Gares de voyageurs,Gares,gare,Géolocalisation,Code UIC;Open Data Commons Open Database License (ODbL);fr;;2024-08-02;2024-08-02;2024-08-02;Gares & Connexions;;;;;;;;;;;;;;;;Quotidienne;3133;True;
gares-equipees-du-wifi;False;Gares équipées du wifi;Liste des gares équipées ou non en wifi;Gares,Digital et innovation;Gares de voyageurs,Gare de voyageurs,wifi,Services en gare;Open Database License (ODbL);fr;;2017-07-04;2017-07-04;2020-06-11;Gares & Connexions;;;;;;;;;;;;;;;;;2997;True;
horaires-des-gares1;False;Horaires des gares;"Ce jeu de données contient les horaires d'ouverture au public des gares de voyageurs en France.  Chaque gare est identifiée dans la colonne ""UIC"" par son code UIC (identifiant unique).   Les horaires sont mentionnés pour chaque jour de la semaine dans la colonne ""Horaire en jour normal"".   Si, pour certains jours, les horaires varient dans le cas d'un jour férié mais que la gare reste ouverte, ses horaires sont renseignés dans la colonne ""Horaire en jour férié"".";Gares,Horaires et itinéraires;Gares,Gares de voyageurs,Gare de voyageurs,Horaires,Horaire;Open Database License (ODbL);fr;;2024-03-15;2024-03-15;2024-03-15;Gares & Connexions;https://www.gares-sncf.com/fr;;;;;;;;;;;;;;;Irrégulière;6517;True;
